epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92538,2.85212,2.97152,2.64537,2.10054,0.25225,0.48667,0.22446,0.06676,0.06047,0.11667,0.01714,0.00277,2.33306,1.77617,2.5803,1.30386,0.000654088,0.000654088,0.000654088
2,15.1132,1.80135,1.97346,1.64382,1.32935,0.31833,0.45667,0.34581,0.1246,0.08662,0.23333,0.03893,0.00669,2.52334,1.45807,1.98408,1.1952,0.0012946,0.0012946,0.0012946
3,22.0541,1.69131,1.84332,1.46992,1.27634,0.71684,0.63291,0.70157,0.41136,0.31741,0.41695,0.1664,0.02956,1.69289,1.45627,1.51329,0.94153,0.00190872,0.00190872,0.00190872
4,29.4587,1.61618,1.73185,1.36516,1.23316,0.61485,0.57,0.60874,0.26461,0.28534,0.38862,0.1848,0.03676,1.91505,1.31037,1.5323,1.03579,0.0018812,0.0018812,0.0018812
5,35.6453,1.53395,1.67512,1.27321,1.21663,0.83184,0.62,0.75338,0.46604,0.42489,0.55667,0.34265,0.08069,1.58082,1.23313,1.2432,0.9004,0.0018416,0.0018416,0.0018416
6,43.14,1.40658,1.65585,1.14923,1.17009,0.79712,0.75333,0.8089,0.47772,0.35017,0.42031,0.1861,0.03994,1.48978,1.32943,1.16708,0.89231,0.001802,0.001802,0.001802
7,50.7427,1.34637,1.67901,1.0837,1.12678,0.65048,0.59,0.64514,0.37633,0.14903,0.34667,0.09705,0.01767,1.95269,1.31836,1.50149,1.26573,0.0017624,0.0017624,0.0017624
8,58.1677,1.2999,1.61182,1.02447,1.099,0.88634,0.77984,0.85673,0.55683,0.552,0.54,0.40877,0.09609,1.44499,1.15796,1.05038,0.79934,0.0017228,0.0017228,0.0017228
9,65.17,1.19807,1.52943,0.95163,1.07657,0.93253,0.81,0.87382,0.54636,0.64248,0.63,0.51698,0.1364,1.50418,1.13879,0.91936,0.87341,0.0016832,0.0016832,0.0016832
10,72.3628,1.18932,1.47567,0.92855,1.07345,0.88267,0.69,0.82104,0.4921,0.50978,0.42,0.31172,0.06804,1.63579,1.22877,1.1367,0.8847,0.0016436,0.0016436,0.0016436
11,79.5951,1.20735,1.56828,0.93422,1.07677,0.94062,0.80333,0.89723,0.63404,0.58371,0.54,0.37984,0.0926,1.19636,1.28737,0.81542,0.81225,0.001604,0.001604,0.001604
12,86.435,1.20142,1.54722,0.90297,1.05708,0.95918,0.8,0.886,0.56588,0.69361,0.67916,0.59237,0.16083,1.36427,1.20015,0.83753,0.83945,0.0015644,0.0015644,0.0015644
13,93.6312,1.16136,1.51129,0.8761,1.04916,0.93872,0.76595,0.89222,0.6327,0.6708,0.56667,0.5148,0.12868,1.14871,1.15448,0.80107,0.79567,0.0015248,0.0015248,0.0015248
14,100.793,1.12178,1.48102,0.86301,1.02188,0.95435,0.77667,0.89807,0.62027,0.5528,0.57,0.40631,0.10572,1.1943,1.28755,0.80279,0.78694,0.0014852,0.0014852,0.0014852
15,108.466,1.1247,1.50779,0.84823,1.04095,0.96151,0.74948,0.87775,0.63243,0.54621,0.50954,0.41587,0.10394,1.23767,1.12032,0.78627,0.82674,0.0014456,0.0014456,0.0014456
16,114.976,1.15097,1.5114,0.8446,1.0367,0.92459,0.73569,0.86518,0.58698,0.60005,0.4801,0.40323,0.09128,1.28403,1.10453,0.93501,0.82926,0.001406,0.001406,0.001406
17,122.446,1.13101,1.50998,0.82169,1.03986,0.97912,0.78152,0.89454,0.6493,0.71684,0.58,0.55924,0.15019,1.16724,1.05108,0.78273,0.81329,0.0013664,0.0013664,0.0013664
18,130.231,1.08576,1.51066,0.80665,1.01793,0.95533,0.78422,0.90894,0.676,0.62984,0.65333,0.53507,0.13859,1.10871,1.10284,0.71628,0.79762,0.0013268,0.0013268,0.0013268
19,137.393,1.06694,1.48872,0.78156,1.00825,0.97124,0.78786,0.88917,0.6795,0.65375,0.58667,0.50796,0.13977,1.06201,1.0887,0.73969,0.76878,0.0012872,0.0012872,0.0012872
20,143.75,1.0421,1.4552,0.77067,1.01056,0.92326,0.84215,0.91367,0.68462,0.69244,0.66,0.5678,0.15701,1.05071,1.11574,0.73894,0.79234,0.0012476,0.0012476,0.0012476
21,150.984,1.05953,1.45999,0.77831,1.00343,0.97458,0.7668,0.91437,0.68122,0.63373,0.6,0.52654,0.14469,1.0324,1.06965,0.7135,0.7689,0.001208,0.001208,0.001208
22,158.331,1.04387,1.49827,0.75534,0.99444,0.94525,0.88667,0.93737,0.68796,0.74502,0.71667,0.6252,0.17514,0.98925,1.06918,0.61428,0.75752,0.0011684,0.0011684,0.0011684
23,165.623,1.0193,1.45019,0.75416,1.00226,0.98255,0.82,0.91538,0.69031,0.70856,0.68074,0.57997,0.16469,1.02037,1.07325,0.64008,0.73008,0.0011288,0.0011288,0.0011288
24,172.86,1.04074,1.41227,0.74507,0.9911,0.96479,0.82203,0.92901,0.67684,0.68413,0.63531,0.56932,0.15162,1.07535,1.06504,0.74547,0.7643,0.0010892,0.0010892,0.0010892
25,179.801,1.03063,1.43397,0.75196,0.99978,0.96992,0.83333,0.92338,0.67614,0.6404,0.64,0.50866,0.14695,1.09532,1.10152,0.68733,0.76375,0.0010496,0.0010496,0.0010496
26,186.976,0.98686,1.35458,0.71554,0.97343,0.96552,0.84003,0.93209,0.7298,0.72669,0.68244,0.60405,0.16616,0.95569,1.06672,0.64313,0.74294,0.00101,0.00101,0.00101
27,194.272,0.9742,1.4359,0.7086,0.98693,0.96877,0.82735,0.9397,0.73132,0.66891,0.68,0.55467,0.16327,0.95451,1.08654,0.61346,0.72669,0.0009704,0.0009704,0.0009704
28,201.483,0.99254,1.43246,0.71255,0.97757,0.95973,0.82,0.93179,0.71295,0.73538,0.61139,0.58319,0.16611,0.97753,1.05558,0.62288,0.74906,0.0009308,0.0009308,0.0009308
29,207.969,0.94369,1.35827,0.66524,0.96479,0.92968,0.9,0.94309,0.71324,0.73761,0.7309,0.61973,0.18017,0.9815,1.04443,0.63509,0.73375,0.0008912,0.0008912,0.0008912
30,216.207,0.95148,1.3691,0.68114,0.97708,0.97721,0.84667,0.93204,0.70863,0.72754,0.73333,0.62424,0.17877,1.01102,1.05952,0.60084,0.72932,0.0008516,0.0008516,0.0008516
31,223.42,0.94859,1.3982,0.68308,0.97187,0.94412,0.8448,0.93651,0.71343,0.73275,0.7,0.62239,0.18862,0.94921,1.03245,0.5885,0.73399,0.000812,0.000812,0.000812
32,230.012,0.93647,1.38873,0.66396,0.95711,0.95294,0.88333,0.94511,0.73627,0.71482,0.71333,0.59117,0.17853,0.91782,1.05085,0.55919,0.72854,0.0007724,0.0007724,0.0007724
33,237.769,0.95801,1.40083,0.67666,0.96427,0.89232,0.85333,0.93622,0.71574,0.69035,0.6614,0.59416,0.1752,0.96512,1.027,0.60852,0.72353,0.0007328,0.0007328,0.0007328
34,245.093,0.96672,1.42788,0.67641,0.96615,0.93734,0.81,0.93121,0.68974,0.68731,0.60079,0.56629,0.15139,1.07869,1.03798,0.66518,0.74227,0.0006932,0.0006932,0.0006932
35,251.627,0.88063,1.29184,0.62564,0.94986,0.95647,0.86,0.93584,0.73798,0.70573,0.71149,0.5979,0.17885,0.92769,1.00613,0.57237,0.72734,0.0006536,0.0006536,0.0006536
36,258.708,0.90041,1.3299,0.63101,0.96263,0.97841,0.83667,0.94307,0.73302,0.71367,0.74,0.6295,0.19224,0.92226,1.00273,0.56717,0.72425,0.000614,0.000614,0.000614
37,265.932,0.90268,1.37165,0.63886,0.95396,0.92061,0.85038,0.93456,0.72464,0.71316,0.67128,0.58934,0.18427,0.92793,1.02021,0.59328,0.72204,0.0005744,0.0005744,0.0005744
38,273.006,0.87234,1.30533,0.60965,0.9384,0.97685,0.86333,0.9398,0.75876,0.76905,0.72333,0.64986,0.19649,0.87146,1.00616,0.53472,0.72888,0.0005348,0.0005348,0.0005348
39,280.465,0.87912,1.3287,0.62444,0.94656,0.96669,0.87061,0.94214,0.74735,0.7411,0.73472,0.63691,0.18763,0.8891,1.01359,0.53458,0.72912,0.0004952,0.0004952,0.0004952
40,286.988,0.87143,1.36125,0.60954,0.94327,0.92331,0.90667,0.94647,0.75412,0.70964,0.71333,0.6151,0.18933,0.84721,1.00248,0.54711,0.70012,0.0004556,0.0004556,0.0004556
41,297.097,0.70222,0.81998,0.50892,0.88414,0.95174,0.85467,0.94045,0.75096,0.77397,0.69626,0.64036,0.17862,0.86567,1.02023,0.53466,0.70898,0.000416,0.000416,0.000416
42,304.336,0.70974,0.85315,0.48185,0.87799,0.95614,0.87197,0.94948,0.7547,0.75694,0.72333,0.63968,0.19527,0.85369,1.00161,0.51457,0.69068,0.0003764,0.0003764,0.0003764
43,310.714,0.68114,0.83502,0.45995,0.87315,0.97178,0.86333,0.94855,0.76325,0.7065,0.71412,0.61419,0.17666,0.84624,0.99504,0.52238,0.69826,0.0003368,0.0003368,0.0003368
44,317.221,0.66908,0.83961,0.4552,0.86974,0.95167,0.85322,0.94588,0.77174,0.7256,0.7,0.60966,0.17877,0.82929,0.98438,0.5293,0.70552,0.0002972,0.0002972,0.0002972
45,323.206,0.66322,0.84025,0.4444,0.8685,0.97017,0.86722,0.94925,0.7731,0.73616,0.73,0.64729,0.19848,0.84506,1.00073,0.4965,0.69593,0.0002576,0.0002576,0.0002576
46,329.792,0.59611,0.79241,0.41674,0.87394,0.97415,0.87938,0.95038,0.7775,0.793,0.72787,0.67415,0.20674,0.82304,0.97431,0.49733,0.70741,0.000218,0.000218,0.000218
47,336.251,0.61212,0.79675,0.41512,0.86332,0.94646,0.89,0.94999,0.7707,0.7526,0.72,0.65922,0.2027,0.83235,0.97488,0.48196,0.69565,0.0001784,0.0001784,0.0001784
48,342.475,0.5823,0.76524,0.39261,0.86699,0.95704,0.89115,0.95455,0.78634,0.76706,0.71347,0.65757,0.20473,0.79027,0.96411,0.48106,0.68891,0.0001388,0.0001388,0.0001388
49,348.335,0.56028,0.75085,0.38281,0.86839,0.96146,0.89,0.95196,0.786,0.74862,0.74667,0.66601,0.20286,0.78403,0.96478,0.4655,0.68871,9.92e-05,9.92e-05,9.92e-05
50,354.949,0.55587,0.77247,0.37883,0.85789,0.9752,0.87,0.95619,0.7925,0.76613,0.74252,0.66754,0.20244,0.75913,0.96013,0.46122,0.68238,5.96e-05,5.96e-05,5.96e-05
