epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30956,1.68495,2.45583,1.59541,0.97925,0.51948,0.84726,0.48613,1.33702,2.38262,1.27296,0.000654545,0.000654545,0.000654545
2,11.5013,1.39446,1.64599,1.36162,0.66187,0.68831,0.75061,0.40528,1.49701,2.12098,1.39955,0.00129505,0.00129505,0.00129505
3,17.5696,1.40448,1.41951,1.35616,0.59237,0.47403,0.56367,0.31713,1.42302,2.10259,1.37013,0.00190916,0.00190916,0.00190916
4,23.6103,1.35128,1.24365,1.35024,0.89869,0.864,0.95583,0.56103,1.34064,1.29709,1.28248,0.0018812,0.0018812,0.0018812
5,29.6342,1.30898,1.14479,1.33249,0.9096,0.90909,0.95259,0.59444,1.37008,0.88723,1.30455,0.0018416,0.0018416,0.0018416
6,35.7633,1.2906,1.0561,1.31538,0.96109,0.9623,0.98644,0.5441,1.56708,0.78453,1.35484,0.001802,0.001802,0.001802
7,42.2059,1.26688,0.98715,1.28904,0.95583,0.98363,0.99139,0.64717,1.17171,0.73405,1.17473,0.0017624,0.0017624,0.0017624
8,48.5686,1.26201,0.93642,1.28601,0.97422,0.98144,0.99029,0.56516,1.49311,0.72319,1.30532,0.0017228,0.0017228,0.0017228
9,54.7786,1.20309,0.88297,1.2594,0.96752,0.9673,0.9914,0.69394,1.07496,0.63005,1.09086,0.0016832,0.0016832,0.0016832
10,60.8088,1.18926,0.86236,1.24694,0.93671,0.96111,0.98635,0.68116,1.05112,0.66135,1.11723,0.0016436,0.0016436,0.0016436
11,67.183,1.1736,0.82539,1.23895,0.94889,0.96445,0.98978,0.69218,1.09718,0.7129,1.12877,0.001604,0.001604,0.001604
12,73.104,1.15916,0.79209,1.23512,0.9364,0.99351,0.98423,0.68682,1.15255,0.64479,1.14611,0.0015644,0.0015644,0.0015644
13,79.2147,1.10867,0.78116,1.21238,0.95489,0.92857,0.97799,0.69681,1.04376,0.66642,1.10722,0.0015248,0.0015248,0.0015248
14,85.4724,1.10071,0.74868,1.19344,0.99557,1,0.995,0.66274,1.20886,0.58275,1.16625,0.0014852,0.0014852,0.0014852
15,92.1699,1.07195,0.72818,1.171,0.96694,0.98052,0.99223,0.69336,1.13473,0.53026,1.09483,0.0014456,0.0014456,0.0014456
16,98.7132,1.06674,0.71199,1.18244,0.97643,0.98052,0.99286,0.68393,1.15713,0.54274,1.13056,0.001406,0.001406,0.001406
17,105.092,1.07314,0.70591,1.17878,0.9985,1,0.995,0.69928,1.11839,0.50068,1.08999,0.0013664,0.0013664,0.0013664
18,110.837,1.06155,0.68604,1.16972,0.98703,0.98848,0.9929,0.73822,0.95803,0.49498,1.02851,0.0013268,0.0013268,0.0013268
19,117.556,1.04955,0.66894,1.16479,0.9979,1,0.995,0.67509,1.16579,0.50487,1.12745,0.0012872,0.0012872,0.0012872
20,123.583,1.02361,0.66453,1.16678,0.99204,1,0.995,0.76582,0.89089,0.46041,1.02259,0.0012476,0.0012476,0.0012476
21,129.793,1.01074,0.6401,1.14525,0.98375,0.99351,0.99467,0.75304,0.90307,0.49814,1.04724,0.001208,0.001208,0.001208
22,138.866,1.02569,0.66544,1.15654,0.99197,1,0.99481,0.75655,0.92715,0.44049,0.99424,0.0011684,0.0011684,0.0011684
23,145.88,0.982,0.63412,1.14227,0.99844,1,0.995,0.76746,0.85157,0.42525,0.99345,0.0011288,0.0011288,0.0011288
24,151.534,0.98666,0.6183,1.13293,0.9935,0.99315,0.99474,0.76667,0.866,0.43365,0.97606,0.0010892,0.0010892,0.0010892
25,157.317,0.93645,0.59275,1.1043,0.99931,1,0.995,0.72392,1.03011,0.4517,1.04266,0.0010496,0.0010496,0.0010496
26,166.059,0.9589,0.59202,1.10758,0.99921,1,0.995,0.7751,0.87597,0.41862,1.00341,0.00101,0.00101,0.00101
27,171.989,0.93584,0.5845,1.09824,0.98562,1,0.99494,0.77902,0.83136,0.41501,0.99037,0.0009704,0.0009704,0.0009704
28,177.778,0.95926,0.60489,1.11239,0.99766,1,0.995,0.7856,0.84712,0.40865,0.9789,0.0009308,0.0009308,0.0009308
29,183.579,0.93879,0.58442,1.10863,0.99851,1,0.995,0.803,0.77127,0.39855,0.95004,0.0008912,0.0008912,0.0008912
30,189.785,0.91817,0.54563,1.09324,0.99131,1,0.995,0.7648,0.88124,0.43353,0.98929,0.0008516,0.0008516,0.0008516
31,196.431,0.9038,0.55251,1.08698,0.99654,0.99351,0.995,0.79978,0.77539,0.3796,0.95871,0.000812,0.000812,0.000812
32,202.078,0.90296,0.55344,1.08068,0.99943,1,0.995,0.81801,0.75808,0.37082,0.95181,0.0007724,0.0007724,0.0007724
33,207.945,0.88443,0.52263,1.07763,0.99843,1,0.995,0.81839,0.7954,0.3666,0.95858,0.0007328,0.0007328,0.0007328
34,213.597,0.87435,0.52262,1.0736,0.99837,1,0.995,0.78995,0.82416,0.38868,0.96002,0.0006932,0.0006932,0.0006932
35,219.563,0.89121,0.52383,1.07879,0.99945,1,0.995,0.81156,0.75824,0.34587,0.9345,0.0006536,0.0006536,0.0006536
36,225.679,0.87089,0.49801,1.07136,0.99902,1,0.995,0.79803,0.80995,0.35398,0.94811,0.000614,0.000614,0.000614
37,231.615,0.87398,0.51711,1.06863,0.99592,1,0.995,0.82056,0.72113,0.34174,0.92023,0.0005744,0.0005744,0.0005744
38,237.04,0.88147,0.52402,1.08061,0.99903,1,0.995,0.81454,0.74468,0.34283,0.93436,0.0005348,0.0005348,0.0005348
39,242.758,0.85433,0.49518,1.06107,0.99224,0.99351,0.99494,0.82065,0.71661,0.33635,0.93182,0.0004952,0.0004952,0.0004952
40,248.79,0.81427,0.47547,1.04163,0.99851,1,0.995,0.83804,0.68823,0.32612,0.91216,0.0004556,0.0004556,0.0004556
41,257.957,0.68909,0.35178,0.96732,0.98043,1,0.99442,0.81401,0.74132,0.3468,0.91896,0.000416,0.000416,0.000416
42,265.386,0.71617,0.3515,0.97675,0.99641,0.98052,0.99481,0.79991,0.77213,0.35466,0.93779,0.0003764,0.0003764,0.0003764
43,272.065,0.69341,0.34483,0.96239,0.99668,0.98701,0.99475,0.82267,0.75358,0.3441,0.93263,0.0003368,0.0003368,0.0003368
44,277.403,0.65816,0.32955,0.94634,0.99665,0.99351,0.995,0.82955,0.71677,0.33339,0.91808,0.0002972,0.0002972,0.0002972
45,281.998,0.64418,0.32356,0.93844,0.99312,0.99351,0.995,0.84032,0.6969,0.32662,0.91061,0.0002576,0.0002576,0.0002576
46,286.862,0.64048,0.3207,0.94506,0.99896,1,0.995,0.83284,0.70676,0.31671,0.92238,0.000218,0.000218,0.000218
47,292.334,0.62744,0.31396,0.93301,0.99904,1,0.995,0.83188,0.71814,0.31858,0.92002,0.0001784,0.0001784,0.0001784
48,298.077,0.63407,0.31069,0.94046,0.99931,1,0.995,0.84499,0.68613,0.30564,0.91261,0.0001388,0.0001388,0.0001388
49,304.133,0.61839,0.29761,0.92934,0.99952,1,0.995,0.84324,0.6892,0.30526,0.91343,9.92e-05,9.92e-05,9.92e-05
50,309.681,0.61078,0.30241,0.93674,0.99939,1,0.995,0.8415,0.70802,0.30362,0.91734,5.96e-05,5.96e-05,5.96e-05
