epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9722,1.85539,1.47444,1.11272,0.90999,0.8065,0.89912,0.44746,1.73667,1.0339,1.05656,0.000473446,0.000473446,0.000473446
2,44.2415,1.59348,0.82794,1.04036,0.90461,0.86811,0.93406,0.50154,1.56403,0.74687,1.02825,0.000930974,0.000930974,0.000930974
3,66.0062,1.54519,0.76872,1.03294,0.91727,0.8802,0.94588,0.50987,1.54151,0.73193,1.01436,0.00136964,0.00136964,0.00136964
4,88.3126,1.50121,0.72973,1.01657,0.94044,0.89286,0.94511,0.51821,1.52408,0.67893,1.00176,0.00134412,0.00134412,0.00134412
5,112.543,1.48775,0.70376,1.0105,0.93388,0.90157,0.95672,0.57565,1.3794,0.64693,0.97469,0.00131582,0.00131582,0.00131582
6,134.598,1.46556,0.68077,1.00675,0.89464,0.88832,0.94691,0.53891,1.44398,0.8923,0.99657,0.00128753,0.00128753,0.00128753
7,157.288,1.44072,0.66833,0.99704,0.92403,0.89852,0.95498,0.56174,1.40971,0.6769,0.97695,0.00125923,0.00125923,0.00125923
8,179.684,1.41619,0.64517,0.99396,0.94105,0.91696,0.96663,0.59006,1.37829,0.61268,0.9689,0.00123094,0.00123094,0.00123094
9,203.133,1.40642,0.63789,0.99071,0.92192,0.90108,0.95701,0.57135,1.38433,0.65038,0.97898,0.00120265,0.00120265,0.00120265
10,226.097,1.38842,0.62389,0.98358,0.92179,0.90389,0.96039,0.58659,1.37148,0.6465,0.97198,0.00117435,0.00117435,0.00117435
11,248.691,1.39738,0.6227,0.98268,0.95505,0.92871,0.96965,0.59423,1.35854,0.62211,0.96193,0.00114606,0.00114606,0.00114606
12,272.149,1.38954,0.61652,0.98476,0.9534,0.92845,0.97208,0.60791,1.34404,0.57794,0.95816,0.00111776,0.00111776,0.00111776
13,295.529,1.36906,0.60349,0.98343,0.95841,0.92907,0.96965,0.59791,1.3803,0.58288,0.96535,0.00108947,0.00108947,0.00108947
14,317.787,1.36694,0.6027,0.97951,0.9546,0.92245,0.96649,0.60437,1.40481,0.57632,0.97775,0.00106118,0.00106118,0.00106118
15,339.835,1.35985,0.59653,0.97711,0.96492,0.92826,0.97288,0.62632,1.3111,0.55505,0.95349,0.00103288,0.00103288,0.00103288
16,362.483,1.34092,0.58983,0.97234,0.95204,0.92748,0.97313,0.62659,1.28307,0.56129,0.94902,0.00100459,0.00100459,0.00100459
17,384.624,1.32879,0.58386,0.96839,0.96199,0.93472,0.97404,0.63054,1.30905,0.54333,0.95128,0.000976293,0.000976293,0.000976293
18,406.883,1.33128,0.5806,0.96879,0.96053,0.93895,0.9756,0.63083,1.29286,0.5514,0.94916,0.000947999,0.000947999,0.000947999
19,431.607,1.33665,0.5816,0.9698,0.95745,0.93831,0.97483,0.62024,1.32963,0.56666,0.95422,0.000919704,0.000919704,0.000919704
20,454.99,1.31463,0.57242,0.96389,0.95659,0.94187,0.97733,0.63662,1.278,0.54326,0.94591,0.00089141,0.00089141,0.00089141
21,478.377,1.30784,0.56798,0.96394,0.96236,0.93952,0.97716,0.63749,1.29036,0.53904,0.94458,0.000863116,0.000863116,0.000863116
22,502.424,1.30408,0.56735,0.96172,0.9615,0.93707,0.97684,0.64216,1.25999,0.5403,0.94099,0.000834822,0.000834822,0.000834822
23,526,1.3092,0.56578,0.96079,0.96206,0.93783,0.97846,0.63305,1.31101,0.54801,0.94499,0.000806528,0.000806528,0.000806528
24,549.676,1.29465,0.55956,0.9598,0.95414,0.93502,0.97671,0.63062,1.29109,0.54834,0.94571,0.000778233,0.000778233,0.000778233
25,573.301,1.2915,0.55311,0.95619,0.96921,0.94102,0.97853,0.65336,1.24812,0.51695,0.93542,0.000749939,0.000749939,0.000749939
26,595.125,1.28256,0.55635,0.9563,0.9573,0.93986,0.9774,0.64348,1.25241,0.53516,0.93937,0.000721645,0.000721645,0.000721645
27,618.148,1.27719,0.54887,0.95437,0.96795,0.94611,0.97788,0.64926,1.25043,0.5157,0.93745,0.000693351,0.000693351,0.000693351
28,639.688,1.27181,0.54383,0.95316,0.96001,0.94411,0.97914,0.64979,1.24085,0.52841,0.93492,0.000665057,0.000665057,0.000665057
29,663.71,1.26952,0.54083,0.95377,0.95827,0.94111,0.97859,0.6522,1.23506,0.52308,0.93358,0.000636762,0.000636762,0.000636762
30,685.978,1.26646,0.54346,0.95099,0.96074,0.94353,0.97984,0.65436,1.23852,0.5211,0.93419,0.000608468,0.000608468,0.000608468
31,708.44,1.26298,0.5402,0.95003,0.96033,0.94325,0.97875,0.65646,1.2308,0.51881,0.934,0.000580174,0.000580174,0.000580174
32,731.402,1.25631,0.53591,0.94846,0.96599,0.94469,0.97945,0.66229,1.22067,0.5076,0.93094,0.00055188,0.00055188,0.00055188
33,753.897,1.24511,0.53145,0.94651,0.96529,0.9466,0.97953,0.65768,1.22975,0.511,0.93251,0.000523586,0.000523586,0.000523586
34,775.911,1.23418,0.52856,0.94592,0.96327,0.94844,0.98063,0.65889,1.23317,0.51254,0.93288,0.000495291,0.000495291,0.000495291
35,799.951,1.23875,0.52743,0.94596,0.96945,0.95111,0.98086,0.6691,1.20667,0.50198,0.92702,0.000466997,0.000466997,0.000466997
36,823.264,1.22077,0.5224,0.93994,0.96909,0.949,0.98087,0.66982,1.20514,0.49984,0.92762,0.000438703,0.000438703,0.000438703
37,845.371,1.24108,0.52826,0.94544,0.97133,0.95011,0.98165,0.67427,1.20191,0.49483,0.92556,0.000410409,0.000410409,0.000410409
38,869.444,1.21801,0.52293,0.94276,0.96343,0.94924,0.98077,0.66509,1.20732,0.50656,0.9277,0.000382115,0.000382115,0.000382115
39,892.736,1.20421,0.51521,0.93834,0.97279,0.95078,0.98113,0.66429,1.22516,0.4943,0.92939,0.00035382,0.00035382,0.00035382
40,915.508,1.21526,0.51777,0.94235,0.96857,0.94817,0.98068,0.67501,1.1943,0.48837,0.92458,0.000325526,0.000325526,0.000325526
41,941.198,1.12794,0.47987,0.9401,0.97123,0.94972,0.98088,0.664,1.22178,0.49453,0.92811,0.000297232,0.000297232,0.000297232
42,963.214,1.1214,0.472,0.9378,0.97174,0.95094,0.98199,0.65981,1.23707,0.49874,0.92913,0.000268938,0.000268938,0.000268938
43,984.444,1.10464,0.46595,0.93288,0.97268,0.94885,0.98113,0.67073,1.20651,0.48927,0.92523,0.000240644,0.000240644,0.000240644
44,1004.64,1.09818,0.46351,0.92971,0.96918,0.95301,0.98111,0.66198,1.23271,0.4929,0.92827,0.000212349,0.000212349,0.000212349
45,1024.51,1.08912,0.45997,0.9281,0.96981,0.95052,0.9817,0.67339,1.19386,0.48801,0.92362,0.000184055,0.000184055,0.000184055
46,1045,1.08485,0.45809,0.9287,0.9677,0.95165,0.9822,0.67784,1.18782,0.48609,0.92296,0.000155761,0.000155761,0.000155761
47,1064.18,1.08573,0.45559,0.92703,0.9738,0.95252,0.98217,0.67236,1.20808,0.48504,0.92433,0.000127467,0.000127467,0.000127467
48,1085.04,1.07898,0.45318,0.92895,0.973,0.95125,0.98179,0.67691,1.19206,0.48242,0.92181,9.91726e-05,9.91726e-05,9.91726e-05
49,1106.98,1.0674,0.44991,0.92295,0.97164,0.95252,0.98278,0.68048,1.1828,0.47941,0.92011,7.08784e-05,7.08784e-05,7.08784e-05
50,1129.13,1.06391,0.44697,0.92629,0.97177,0.95127,0.98182,0.67899,1.18618,0.47882,0.92073,4.25842e-05,4.25842e-05,4.25842e-05
