epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3852,1.20023,0.51205,0.93612,0.96921,0.9496,0.98089,0.67188,1.21153,0.50296,0.92687,0.000473446,0.000473446,0.000473446
2,44.1265,1.2122,0.52404,0.93814,0.96905,0.94962,0.978,0.65819,1.21702,0.51387,0.92954,0.000902766,0.000902766,0.000902766
3,69.5354,1.24369,0.53856,0.95194,0.95591,0.94614,0.97924,0.64805,1.25761,0.54488,0.94223,0.00128493,0.00128493,0.00128493
4,92.8777,1.2394,0.53922,0.94652,0.96054,0.94848,0.98014,0.65668,1.22541,0.52348,0.93387,0.00121679,0.00121679,0.00121679
5,116.185,1.2364,0.53397,0.94498,0.96215,0.94653,0.98035,0.65367,1.23602,0.52348,0.934,0.00114606,0.00114606,0.00114606
6,139.574,1.23502,0.53275,0.94642,0.96861,0.94896,0.98113,0.66541,1.21774,0.50434,0.92948,0.00107532,0.00107532,0.00107532
7,162.227,1.21925,0.52756,0.94154,0.96635,0.94547,0.98055,0.65834,1.23579,0.51137,0.93274,0.00100459,0.00100459,0.00100459
8,184.779,1.21129,0.52258,0.94209,0.96778,0.94689,0.98073,0.66197,1.22096,0.50991,0.92974,0.000933851,0.000933851,0.000933851
9,207.354,1.2098,0.52158,0.94161,0.96882,0.94639,0.98015,0.66058,1.22429,0.5096,0.93068,0.000863116,0.000863116,0.000863116
10,229.567,1.20023,0.51362,0.93681,0.96933,0.95043,0.98195,0.66411,1.2289,0.50391,0.92963,0.00079238,0.00079238,0.00079238
11,253.564,1.128,0.48152,0.94159,0.96507,0.94839,0.98143,0.65327,1.23849,0.50985,0.93156,0.000721645,0.000721645,0.000721645
12,274.12,1.11138,0.47372,0.9359,0.9679,0.95061,0.98048,0.6607,1.22224,0.5016,0.92849,0.000650909,0.000650909,0.000650909
13,294.186,1.10881,0.47195,0.93271,0.96366,0.95374,0.98165,0.65332,1.25518,0.50296,0.93274,0.000580174,0.000580174,0.000580174
14,314.086,1.0922,0.46229,0.93153,0.96883,0.95059,0.98175,0.66009,1.22582,0.50152,0.92949,0.000509438,0.000509438,0.000509438
15,333.678,1.07938,0.4588,0.92753,0.96731,0.95426,0.98278,0.66704,1.21862,0.4948,0.92673,0.000438703,0.000438703,0.000438703
16,353.485,1.07391,0.45385,0.92715,0.97485,0.95179,0.98181,0.67691,1.1954,0.47936,0.92215,0.000367967,0.000367967,0.000367967
17,375.274,1.05511,0.44736,0.92153,0.97299,0.95136,0.98284,0.67571,1.20342,0.48097,0.92259,0.000297232,0.000297232,0.000297232
18,395.968,1.05432,0.44373,0.92026,0.97165,0.95204,0.98277,0.68118,1.18237,0.47671,0.91856,0.000226497,0.000226497,0.000226497
19,416.309,1.04559,0.43961,0.91864,0.97144,0.95385,0.98374,0.6852,1.17309,0.47201,0.91767,0.000155761,0.000155761,0.000155761
20,435.936,1.04525,0.43961,0.92509,0.97325,0.95484,0.98352,0.68631,1.17057,0.47017,0.91705,8.50255e-05,8.50255e-05,8.50255e-05
