epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0615,1.1647,0.49764,0.92936,0.97275,0.94953,0.9823,0.67516,1.20414,0.48682,0.92373,0.000473446,0.000473446,0.000473446
2,44.4366,1.15736,0.50273,0.9262,0.97184,0.95104,0.98135,0.67118,1.1989,0.49515,0.92457,0.000902766,0.000902766,0.000902766
3,66.6165,1.19438,0.5176,0.94011,0.96281,0.94629,0.9805,0.66312,1.21996,0.51758,0.93281,0.00128493,0.00128493,0.00128493
4,90.0154,1.18334,0.51559,0.93303,0.96977,0.95301,0.98203,0.66233,1.2441,0.50563,0.93455,0.00121679,0.00121679,0.00121679
5,112.28,1.19318,0.5147,0.93436,0.96913,0.95011,0.98159,0.67213,1.19512,0.49412,0.92624,0.00114606,0.00114606,0.00114606
6,134.869,1.1819,0.50958,0.93345,0.9742,0.9504,0.98137,0.66743,1.21151,0.49584,0.9278,0.00107532,0.00107532,0.00107532
7,158.497,1.17765,0.50899,0.93192,0.97385,0.94837,0.98245,0.66926,1.229,0.49283,0.92867,0.00100459,0.00100459,0.00100459
8,180.37,1.16068,0.50462,0.93103,0.97053,0.94889,0.98126,0.65717,1.22236,0.50344,0.93027,0.000933851,0.000933851,0.000933851
9,202.761,1.16627,0.50364,0.93117,0.96359,0.94425,0.97897,0.65768,1.23497,0.50596,0.93976,0.000863116,0.000863116,0.000863116
10,226.06,1.15604,0.49698,0.92711,0.96952,0.9503,0.98158,0.66563,1.22102,0.49585,0.92779,0.00079238,0.00079238,0.00079238
11,250.764,1.07614,0.46132,0.92834,0.97507,0.94933,0.98186,0.66116,1.24167,0.49213,0.93136,0.000721645,0.000721645,0.000721645
12,270.615,1.06235,0.45655,0.9233,0.97131,0.95011,0.98143,0.66837,1.21643,0.48528,0.927,0.000650909,0.000650909,0.000650909
13,292.212,1.06483,0.45335,0.92133,0.96913,0.95007,0.98227,0.67176,1.20574,0.48876,0.92684,0.000580174,0.000580174,0.000580174
14,311.68,1.0503,0.44576,0.92117,0.97263,0.95198,0.98287,0.67199,1.20152,0.48661,0.92428,0.000509438,0.000509438,0.000509438
15,331.569,1.04308,0.4429,0.91868,0.96982,0.95375,0.98246,0.67434,1.19357,0.48136,0.92176,0.000438703,0.000438703,0.000438703
16,351.53,1.03384,0.43778,0.91714,0.9763,0.95195,0.9832,0.68365,1.17853,0.46992,0.91924,0.000367967,0.000367967,0.000367967
17,371.537,1.01935,0.43316,0.9129,0.97423,0.95446,0.98423,0.68186,1.18692,0.47146,0.91945,0.000297232,0.000297232,0.000297232
18,391.873,1.02308,0.43057,0.91244,0.97065,0.95591,0.98355,0.68577,1.17259,0.46674,0.91647,0.000226497,0.000226497,0.000226497
19,411.991,1.01823,0.42696,0.91223,0.9738,0.95601,0.98457,0.69116,1.15858,0.46075,0.91435,0.000155761,0.000155761,0.000155761
20,431.476,1.01825,0.42737,0.91883,0.97442,0.95785,0.98429,0.69246,1.15529,0.45956,0.91434,8.50255e-05,8.50255e-05,8.50255e-05
