epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.25988,1.1748,1.66397,1.43754,1.24398,0.7778,0.83776,0.8645,0.60374,0.28977,0.29189,0.17764,0.04046,0.97134,0.69948,1.18777,0.95716,0.000654545,0.000654545,0.000654545
2,16.5693,0.75057,0.81059,0.67648,0.9773,0.92218,0.89386,0.95856,0.80149,0.57217,0.59287,0.37973,0.08931,0.66677,0.56696,0.61697,0.82764,0.00129505,0.00129505,0.00129505
3,24.6216,0.74994,0.80231,0.61184,0.96774,0.98624,0.94996,0.99171,0.82814,0.49043,0.48067,0.25463,0.05997,0.62435,0.6257,0.48792,0.82861,0.00190916,0.00190916,0.00190916
4,32.5219,0.70734,0.77592,0.57903,0.95263,0.9782,0.95258,0.99028,0.85427,0.53667,0.5398,0.31499,0.07077,0.56825,0.58308,0.43042,0.79526,0.0018812,0.0018812,0.0018812
5,40.3374,0.64744,0.73535,0.52559,0.93178,0.97057,0.97521,0.99321,0.86364,0.6777,0.68461,0.49478,0.12582,0.54146,0.52144,0.43154,0.79245,0.0018416,0.0018416,0.0018416
6,48.796,0.63052,0.73235,0.49458,0.92739,0.98019,0.97195,0.99349,0.88024,0.6345,0.63437,0.42901,0.10468,0.49337,0.55046,0.39712,0.79696,0.001802,0.001802,0.001802
7,55.9804,0.64187,0.72749,0.49705,0.9344,0.98634,0.98541,0.99458,0.8971,0.69451,0.6975,0.50193,0.12379,0.46848,0.5078,0.36373,0.78894,0.0017624,0.0017624,0.0017624
8,63.8116,0.59744,0.69947,0.46166,0.9203,0.99313,0.98707,0.99466,0.89553,0.65222,0.66187,0.45274,0.12171,0.45892,0.52109,0.35662,0.77713,0.0017228,0.0017228,0.0017228
9,72.0839,0.60777,0.70871,0.45533,0.9187,0.99076,0.97271,0.99409,0.89279,0.57786,0.57287,0.35936,0.08867,0.48115,0.5223,0.36737,0.78469,0.0016832,0.0016832,0.0016832
10,80.1465,0.58511,0.697,0.43277,0.90765,0.98942,0.97726,0.99432,0.89008,0.61831,0.61713,0.40297,0.09755,0.47784,0.55216,0.35596,0.78752,0.0016436,0.0016436,0.0016436
